命題結合子,propositional connective
命題結合子,propositional connective
命題論理式,propositional formula
命題論理,propositional logic
保護する,protect
保護,protection
証明する,prove
一般逆行列,"pseudoinverse,   generalized inverse"
2次形式,quadratic form
限定記号,quantifier
修飾する,quantify
商,quotient
根号,radical symbol
べき乗,raise
確率変数,random variable
ランク,rank
有理数,rational number
実数,real number
逆数,reciprocal
認識,recognition
認識する,recognize
長方行列,rectangular matrix
鏡像，反転,reflection
強化学習,reinforcement learning
関係,relation
相対誤差,relative error
余り，剰余,remainder
右辺,right(-hand) side
根,root
丸める（四捨五入する）,round
丸め誤差,roundoff error
行,row
推論規則,rule of inference
サンプル（標本）,sample
サンプル空間（標本空間）,sample space
充足可能,satisfiable
スカラ,scalar
スカラ倍,scalar multiple
シュワルツの不等式,Schwarz inequality
分割する，分割部分,segment
分割,segmentation
意味の,semantic
意味論,semantics
数列,sequence
級数,series
集合,set
集合演算,set operation
符号,sign
信号,signal
信号処理,signal processing
有効数字,significant digit
特異な,singular
特異値分解,singular value decomposition
解,solution
健全な,sound
健全性,soundness
特定の,specific
特定化,specification
特定する,specify
スペクトル分解,spectral decomposition
音声認識,speech recognition
音声,"speech,sound"
2乗（する）,square
正方行列,square matrix
平方根,square root
標準偏差,standard deviation
標準の,"standard,canonical"
言明する，状態,state
文，言明,statement
統計的に,statistically
統計学,statistics
記憶する,store
文字列,string
記号列,string of symbols
小行列,submatrix
下添え字,subscript
部分集合,subset
代入する,substitute
代入,substitution
引く,subtract
引き算,subtraction
十分条件,sufficient condition
和,sum
上添え字,superscript
上位集合,superset
教師あり学習,supervised learning
対称行列,symmetric matirx
構文，構文論,syntax
目標,target
恒真式，トートロジー,tautology
項,term
小数点以下第〜桁,the 〜th decimal place
定理,theorem
トレース,trace
トレードオフ，妥協,trade-off
転置，転置行列,transpose
試行錯誤,trial and error
三角不等式,triangular inequality
真理値表,truth table
型,type
単項演算子,unary operator
権限のない,unauthorized
相関のない,uncorrelated
一意的な,unique
全称記号,universal quantifier
世界,universe
教師なし学習,unsupervised learning
ユーザ定義の,user-defined
値,value
変数,variable
分散,variance
ベクトル,vector
ベクトル空間,vector space
検証可能,verifiable
検証,verification
検証する,verify
重み，重みづける,weight
整合,well-formed
整合論理式（整式）,well-formed formula  (wff)
零,"zero,   naught"
