317,494,566,506,
407,324,658,332,
458,470,715,486,
137,456,388,463,
355,506,606,520,
10,564,272,560,
302,329,549,339,
99,210,349,226,
296,496,545,507,
336,512,585,525,
114,505,366,509,
113,398,365,407,
384,464,635,478,
403,462,656,475,
386,325,96,333,
128,410,380,417,
117,194,367,209,
135,501,180,296,
377,323,110,400,
348,331,367,219,
202,520,452,526,
108,199,463,528,
640,471,389,528,
289,323,542,567,
294,560,211,404,
685,481,356,251,
96,229,444,525,
141,517,391,519,
234,529,483,536,
615,439,271,478,
